airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration
Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,12.42
Vistara,UK-737,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08
Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,26.67
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,28.17
Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,28.25
Indigo,6E-2338,Delhi,Afternoon,one,Night,Mumbai,Economy,8.0
GO_FIRST,G8-237,Delhi,Afternoon,one,Night,Mumbai,Economy,9.25
Vistara,UK-871,Delhi,Night,one,Afternoon,Mumbai,Economy,17.92
Vistara,UK-871,Delhi,Night,one,Night,Mumbai,Economy,26.42
Air_India,AI-762,Delhi,Night,one,Afternoon,Mumbai,Economy,16.17
GO_FIRST,G8-1404,Delhi,Morning,one,Evening,Mumbai,Economy,7.08
Vistara,UK-747,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.83
Air_India,AI-512,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58
Air_India,AI-537,Delhi,Evening,one,Morning,Mumbai,Economy,15.83
Vistara,UK-977,Delhi,Evening,zero,Night,Mumbai,Economy,2.25
Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,24.42
Vistara,UK-809,Delhi,Evening,one,Night,Mumbai,Economy,26.0
Indigo,6E-184,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.17
SpiceJet,SG-3002,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.25
Indigo,6E-2102,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.08
Air_India,AI-801,Delhi,Evening,one,Night,Mumbai,Economy,29.33
Vistara,UK-637,Delhi,Evening,one,Night,Mumbai,Economy,4.42
Vistara,UK-747,Delhi,Early_Morning,one,Night,Mumbai,Economy,17.0
Vistara,UK-835,Delhi,Evening,one,Night,Mumbai,Economy,26.67
Air_India,AI-764,Delhi,Evening,one,Night,Mumbai,Economy,27.17
Air_India,AI-531,Delhi,Evening,one,Night,Mumbai,Economy,24.75
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,5.75
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58
Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,12.75
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,13.75
Vistara,UK-813,Delhi,Evening,one,Morning,Mumbai,Economy,17.83
Vistara,UK-705,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,5.5
Vistara,UK-707,Delhi,Evening,one,Afternoon,Mumbai,Economy,19.5
Vistara,UK-737,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58
Air_India,AI-762,Delhi,Night,one,Night,Mumbai,Economy,23.83
Vistara,UK-673,Delhi,Afternoon,one,Evening,Mumbai,Economy,5.0
Air_India,AI-839,Delhi,Night,one,Night,Mumbai,Economy,26.5
Vistara,UK-879,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.83
Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.83
GO_FIRST,G8-191,Delhi,Morning,one,Evening,Mumbai,Economy,8.92
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.0
Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,11.17
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,12.17
Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,15.58
Vistara,UK-835,Delhi,Evening,one,Morning,Mumbai,Economy,15.75
Air_India,AI-767,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92
Air_India,AI-401,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.25
Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,Economy,16.0
Air_India,AI-473,Delhi,Evening,one,Evening,Mumbai,Economy,22.75
Vistara,UK-707,Delhi,Evening,one,Night,Mumbai,Economy,6.0
GO_FIRST,G8-213,Delhi,Morning,one,Evening,Mumbai,Economy,6.33
Air_India,AI-409,Delhi,Morning,one,Evening,Mumbai,Economy,7.25
Air_India,AI-429,Delhi,Morning,one,Afternoon,Mumbai,Economy,30.08
Air_India,AI-401,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.0
Vistara,UK-837,Delhi,Evening,one,Morning,Mumbai,Economy,18.25
Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.08
SpiceJet,SG-8803,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25
Vistara,UK-985,Delhi,Evening,zero,Night,Mumbai,Economy,2.17
Vistara,UK-953,Delhi,Night,zero,Night,Mumbai,Economy,2.17
GO_FIRST,G8-346,Delhi,Evening,zero,Night,Mumbai,Economy,2.25
GO_FIRST,G8-330,Delhi,Night,zero,Night,Mumbai,Economy,2.25
GO_FIRST,G8-323,Delhi,Evening,zero,Night,Mumbai,Economy,2.33
Indigo,6E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.25
Indigo,6E-6722,Delhi,Night,zero,Night,Mumbai,Economy,2.25
Air_India,AI-868,Delhi,Evening,zero,Evening,Mumbai,Economy,2.0
Air_India,AI-805,Delhi,Evening,zero,Night,Mumbai,Economy,2.17
Air_India,AI-624,Delhi,Evening,zero,Night,Mumbai,Economy,2.25
GO_FIRST,G8-188,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.33
GO_FIRST,G8-103,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.33
Air_India,AI-636,Delhi,Afternoon,one,Evening,Mumbai,Economy,3.5
Indigo,6E-2022,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.25
Air_India,AI-469,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25
Air_India,AI-542,Delhi,Morning,one,Night,Mumbai,Economy,14.17
Air_India,AI-560,Delhi,Morning,one,Night,Mumbai,Economy,15.75
Vistara,UK-683,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.58
Air_India,AI-403,Delhi,Afternoon,one,Evening,Mumbai,Economy,6.33
Indigo,6E-2154,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.08
Air_India,AI-9843,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75
Air_India,AI-544,Delhi,Evening,one,Night,Mumbai,Economy,6.67
Indigo,6E-282,Delhi,Morning,two_or_more,Evening,Mumbai,Economy,9.67
Air_India,AI-453,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,10.08
Vistara,UK-859,Delhi,Morning,one,Night,Mumbai,Economy,12.58
Vistara,UK-829,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.0
Vistara,UK-899,Delhi,Afternoon,one,Night,Mumbai,Economy,8.25
Vistara,UK-829,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.5
Air_India,AI-9857,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.25
Indigo,6E-607,Delhi,Night,one,Morning,Mumbai,Economy,10.17
Air_India,AI-504,Delhi,Night,one,Night,Mumbai,Economy,23.5
Air_India,AI-885,Delhi,Morning,one,Late_Night,Mumbai,Economy,13.25
SpiceJet,SG-2277,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.75
Air_India,AI-885,Delhi,Morning,one,Night,Mumbai,Economy,11.5
Air_India,AI-885,Delhi,Morning,one,Morning,Mumbai,Economy,21.42
GO_FIRST,G8-719,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.25
GO_FIRST,G8-188,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.75
Vistara,UK-879,Delhi,Evening,one,Night,Mumbai,Economy,5.33
Air_India,AI-885,Delhi,Morning,one,Evening,Mumbai,Economy,5.67
GO_FIRST,G8-119,Delhi,Evening,one,Morning,Mumbai,Economy,15.17
GO_FIRST,G8-717,Delhi,Evening,one,Night,Mumbai,Economy,4.75
Vistara,UK-706,Delhi,Afternoon,one,Night,Mumbai,Economy,7.92
Vistara,UK-817,Delhi,Evening,one,Morning,Mumbai,Economy,19.33
Air_India,AI-465,Delhi,Evening,one,Night,Mumbai,Economy,6.25
Indigo,6E-5018,Delhi,Afternoon,one,Night,Mumbai,Economy,10.33
Vistara,UK-839,Delhi,Afternoon,one,Night,Mumbai,Economy,9.08
Vistara,UK-833,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.42
Vistara,UK-705,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,6.5
Air_India,AI-406,Delhi,Morning,one,Afternoon,Mumbai,Economy,4.83
Air_India,AI-9809,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.83
Air_India,AI-512,Delhi,Afternoon,one,Night,Mumbai,Economy,8.92
GO_FIRST,G8-286,Delhi,Morning,one,Evening,Mumbai,Economy,7.5
GO_FIRST,G8-286,Delhi,Morning,one,Evening,Mumbai,Economy,8.83
Vistara,UK-847,Delhi,Morning,one,Afternoon,Mumbai,Economy,27.58
Air_India,AI-411,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,8.0
Vistara,UK-737,Delhi,Afternoon,one,Night,Mumbai,Economy,28.42
Vistara,UK-705,Delhi,Early_Morning,one,Night,Mumbai,Economy,13.83
Air_India,AI-877,Delhi,Morning,one,Evening,Mumbai,Economy,6.42
GO_FIRST,G8-113,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.75
SpiceJet,SG-8483,Delhi,Evening,one,Early_Morning,Mumbai,Economy,13.25
Indigo,6E-2154,Delhi,Morning,one,Afternoon,Mumbai,Economy,5.0
Air_India,AI-475,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,24.58
Air_India,AI-479,Delhi,Night,one,Afternoon,Mumbai,Economy,16.5
Indigo,6E-181,Delhi,Early_Morning,one,Morning,Mumbai,Economy,4.83
GO_FIRST,G8-286,Delhi,Morning,two_or_more,Night,Mumbai,Economy,11.0
Air_India,AI-504,Delhi,Night,one,Morning,Mumbai,Economy,11.33
Air_India,AI-504,Delhi,Night,one,Night,Mumbai,Economy,23.83
Air_India,AI-9645,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,24.83
Air_India,AI-803,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.92
Indigo,6E-2092,Delhi,Evening,one,Night,Mumbai,Economy,5.33
GO_FIRST,G8-1404,Delhi,Morning,one,Afternoon,Mumbai,Economy,5.08
Air_India,AI-9911,Delhi,Morning,one,Afternoon,Mumbai,Economy,26.08
Indigo,6E-5063,Delhi,Afternoon,one,Night,Mumbai,Economy,5.42
Vistara,UK-833,Delhi,Early_Morning,one,Morning,Mumbai,Economy,28.5
Vistara,UK-815,Delhi,Morning,one,Morning,Mumbai,Economy,27.33
Indigo,6E-7403,Delhi,Early_Morning,one,Evening,Mumbai,Economy,8.67
Indigo,6E-2154,Delhi,Morning,one,Evening,Mumbai,Economy,9.25
Air_India,AI-540,Delhi,Night,one,Evening,Mumbai,Economy,20.42
Air_India,AI-537,Delhi,Evening,one,Evening,Mumbai,Economy,24.83
Vistara,UK-855,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.08
GO_FIRST,G8-237,Delhi,Afternoon,one,Night,Mumbai,Economy,7.5
Air_India,AI-807,Delhi,Evening,one,Morning,Mumbai,Economy,15.25
Air_India,AI-502,Delhi,Afternoon,one,Night,Mumbai,Economy,7.58
Air_India,AI-506,Delhi,Morning,one,Night,Mumbai,Economy,11.33
GO_FIRST,G8-300,Delhi,Morning,one,Afternoon,Mumbai,Economy,5.92
Air_India,AI-811,Delhi,Evening,one,Afternoon,Mumbai,Economy,20.58
Air_India,AI-431,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.17
SpiceJet,SG-1089,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25
SpiceJet,SG-1061,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.33
SpiceJet,SG-1063,Delhi,Evening,zero,Night,Mumbai,Economy,2.33
Indigo,6E-2054,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17
Air_India,AI-678,Delhi,Morning,zero,Morning,Mumbai,Economy,2.25
GO_FIRST,G8-1010,Delhi,Afternoon,one,Evening,Mumbai,Economy,5.83
Air_India,AI-435,Delhi,Early_Morning,one,Night,Mumbai,Economy,17.5
Vistara,UK-637,Delhi,Evening,one,Morning,Mumbai,Economy,18.33
Vistara,UK-706,Delhi,Afternoon,one,Morning,Mumbai,Economy,21.83
Air_India,AI-499,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,26.83
Air_India,AI-9887,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.17
Air_India,AI-469,Delhi,Early_Morning,one,Night,Mumbai,Economy,17.83
Vistara,UK-871,Delhi,Night,one,Morning,Mumbai,Economy,13.42
Vistara,UK-899,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.25
Vistara,UK-859,Delhi,Morning,one,Morning,Mumbai,Economy,23.58
Air_India,AI-483,Delhi,Evening,one,Evening,Mumbai,Economy,23.92
Vistara,UK-879,Delhi,Evening,one,Morning,Mumbai,Economy,16.33
GO_FIRST,G8-357,Delhi,Early_Morning,two_or_more,Evening,Mumbai,Economy,12.08
Vistara,UK-809,Delhi,Evening,one,Morning,Mumbai,Economy,14.42
SpiceJet,SG-339,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,21.08
Air_India,AI-451,Delhi,Afternoon,one,Evening,Mumbai,Economy,25.92
Vistara,UK-835,Delhi,Evening,one,Afternoon,Mumbai,Economy,18.58
Vistara,UK-837,Delhi,Evening,one,Afternoon,Mumbai,Economy,21.08
Vistara,UK-835,Delhi,Evening,one,Morning,Mumbai,Economy,13.08
Vistara,UK-837,Delhi,Evening,one,Morning,Mumbai,Economy,15.58
Vistara,UK-839,Delhi,Afternoon,one,Morning,Mumbai,Economy,19.5
Vistara,UK-833,Delhi,Early_Morning,one,Morning,Mumbai,Economy,25.83
Air_India,AI-471,Delhi,Afternoon,one,Evening,Mumbai,Economy,4.58
Air_India,AI-429,Delhi,Morning,one,Evening,Mumbai,Economy,7.25
Air_India,AI-439,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.0
Air_India,AI-540,Delhi,Night,one,Evening,Mumbai,Economy,21.58
Air_India,AI-537,Delhi,Evening,one,Evening,Mumbai,Economy,26.0
SpiceJet,SG-1091,Delhi,Evening,zero,Night,Mumbai,Economy,2.17
Vistara,UK-981,Delhi,Night,zero,Night,Mumbai,Economy,2.0
Vistara,UK-975,Delhi,Early_Morning,zero,Early_Morning,Mumbai,Economy,2.17
Vistara,UK-993,Delhi,Afternoon,zero,Afternoon,Mumbai,Economy,2.17
Vistara,UK-943,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.25
Vistara,UK-941,Delhi,Evening,zero,Evening,Mumbai,Economy,2.33
AirAsia,I5-721,Delhi,Night,one,Early_Morning,Mumbai,Economy,10.5
AirAsia,I5-773,Delhi,Evening,one,Early_Morning,Mumbai,Economy,11.67
GO_FIRST,G8-199,Delhi,Afternoon,two_or_more,Night,Mumbai,Economy,8.58
SpiceJet,SG-8339,Delhi,Morning,one,Afternoon,Mumbai,Economy,24.67
Air_India,AI-481,Delhi,Morning,one,Night,Mumbai,Economy,14.75
Air_India,AI-469,Delhi,Early_Morning,one,Night,Mumbai,Economy,17.17
Vistara,UK-829,Delhi,Early_Morning,one,Morning,Mumbai,Economy,26.5
Air_India,AI-469,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.5
Air_India,AI-9939,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.67
Vistara,UK-811,Delhi,Early_Morning,one,Morning,Mumbai,Economy,5.5
Vistara,UK-813,Delhi,Evening,one,Night,Mumbai,Economy,5.83
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,6.5
Vistara,UK-817,Delhi,Evening,one,Night,Mumbai,Economy,7.33
Vistara,UK-819,Delhi,Afternoon,one,Night,Mumbai,Economy,9.17
Vistara,UK-807,Delhi,Night,one,Morning,Mumbai,Economy,11.58
Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,11.67
GO_FIRST,G8-286,Delhi,Morning,one,Night,Mumbai,Economy,11.0
Air_India,AI-506,Delhi,Morning,one,Night,Mumbai,Economy,11.58
Air_India,AI-506,Delhi,Morning,one,Morning,Mumbai,Economy,23.08
Vistara,UK-833,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.33
Air_India,AI-9911,Delhi,Afternoon,one,Afternoon,Mumbai,Economy,25.25
Air_India,AI-512,Delhi,Afternoon,one,Night,Mumbai,Economy,8.58
Air_India,AI-9915,Delhi,Evening,one,Afternoon,Mumbai,Economy,21.25
Indigo,6E-2154,Delhi,Morning,one,Evening,Mumbai,Economy,8.33
Air_India,AI-429,Delhi,Morning,one,Evening,Mumbai,Economy,8.42
Air_India,AI-439,Delhi,Early_Morning,one,Evening,Mumbai,Economy,12.17
Air_India,AI-885,Delhi,Morning,one,Night,Mumbai,Economy,10.92
Indigo,6E-2137,Delhi,Night,zero,Late_Night,Mumbai,Economy,2.17
Indigo,6E-218,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.33
AirAsia,I5-721,Delhi,Night,one,Morning,Mumbai,Economy,14.0
Indigo,6E-2097,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,7.58
Indigo,6E-926,Delhi,Evening,one,Night,Mumbai,Economy,4.92
Air_India,AI-415,Delhi,Evening,one,Evening,Mumbai,Economy,25.08
GO_FIRST,G8-2401,Delhi,Morning,one,Evening,Mumbai,Economy,8.0
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,12.67
Vistara,UK-727,Delhi,Night,one,Afternoon,Mumbai,Economy,16.5
Air_India,AI-423,Delhi,Early_Morning,one,Evening,Mumbai,Economy,12.58
Air_India,AI-865,Delhi,Morning,zero,Afternoon,Mumbai,Economy,2.17
Indigo,6E-2083,Delhi,Early_Morning,one,Morning,Mumbai,Economy,5.42
Air_India,AI-469,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.17
Air_India,AI-485,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.92
Indigo,6E-5088,Delhi,Early_Morning,one,Evening,Mumbai,Economy,10.25
AirAsia,I5-740,Delhi,Early_Morning,one,Night,Mumbai,Economy,12.58
AirAsia,I5-482,Delhi,Evening,zero,Night,Mumbai,Economy,2.25
Air_India,AI-469,Delhi,Early_Morning,one,Morning,Mumbai,Economy,28.08
Vistara,UK-637,Delhi,Evening,one,Morning,Mumbai,Economy,17.83
Vistara,UK-706,Delhi,Afternoon,one,Morning,Mumbai,Economy,21.33
Vistara,UK-801,Delhi,Morning,one,Night,Mumbai,Economy,14.33
Vistara,UK-811,Delhi,Early_Morning,one,Night,Mumbai,Economy,14.83
Vistara,UK-815,Delhi,Morning,one,Night,Mumbai,Economy,15.33
Vistara,UK-811,Delhi,Early_Morning,one,Night,Mumbai,Economy,15.92
Indigo,6E-2901,Delhi,Morning,one,Night,Mumbai,Economy,9.5
Air_India,AI-807,Delhi,Evening,one,Night,Mumbai,Economy,27.75
Indigo,6E-2901,Delhi,Morning,one,Evening,Mumbai,Economy,4.83
Air_India,AI-764,Delhi,Evening,one,Evening,Mumbai,Economy,24.92
Air_India,AI-762,Delhi,Night,one,Evening,Mumbai,Economy,21.58
Vistara,UK-847,Delhi,Morning,one,Morning,Mumbai,Economy,22.58
Indigo,6E-6261,Delhi,Evening,zero,Night,Mumbai,Economy,2.25
GO_FIRST,G8-119,Delhi,Evening,one,Early_Morning,Mumbai,Economy,12.67
Indigo,6E-2013,Delhi,Early_Morning,one,Morning,Mumbai,Economy,6.58
Indigo,6E-5063,Delhi,Afternoon,one,Night,Mumbai,Economy,8.25
GO_FIRST,G8-717,Delhi,Evening,one,Late_Night,Mumbai,Economy,9.33
AirAsia,I5-1529,Delhi,Morning,one,Night,Mumbai,Economy,11.0
GO_FIRST,G8-2401,Delhi,Morning,one,Night,Mumbai,Economy,13.0
Vistara,UK-807,Delhi,Night,one,Morning,Mumbai,Economy,13.58
Vistara,UK-807,Delhi,Night,one,Morning,Mumbai,Economy,14.75
Vistara,UK-811,Delhi,Early_Morning,one,Night,Mumbai,Economy,17.5
AirAsia,I5-741,Delhi,Afternoon,one,Night,Mumbai,Economy,7.75
GO_FIRST,G8-266,Delhi,Early_Morning,one,Evening,Mumbai,Economy,11.08
GO_FIRST,G8-191,Delhi,Morning,one,Evening,Mumbai,Economy,8.25
GO_FIRST,G8-300,Delhi,Morning,one,Evening,Mumbai,Economy,9.67
GO_FIRST,G8-213,Delhi,Morning,one,Evening,Mumbai,Economy,5.67
GO_FIRST,G8-7533,Delhi,Afternoon,zero,Afternoon,Mumbai,Economy,2.08
GO_FIRST,G8-7534,Delhi,Afternoon,zero,Evening,Mumbai,Economy,2.08
GO_FIRST,G8-7535,Delhi,Evening,zero,Evening,Mumbai,Economy,2.08
GO_FIRST,G8-530,Delhi,Early_Morning,zero,Morning,Mumbai,Economy,2.17
GO_FIRST,G8-354,Delhi,Night,zero,Late_Night,Mumbai,Economy,2.17
GO_FIRST,G8-2501,Delhi,Late_Night,zero,Early_Morning,Mumbai,Economy,2.25
Indigo,6E-171,Delhi,Late_Night,zero,Early_Morning,Mumbai,Economy,2.17
AirAsia,I5-747,Delhi,Evening,one,Late_Night,Mumbai,Economy,5.58
AirAsia,I5-773,Delhi,Evening,one,Late_Night,Mumbai,Economy,6.42
AirAsia,I5-788,Delhi,Night,one,Afternoon,Mumbai,Economy,14.25
AirAsia,I5-1529,Delhi,Morning,one,Late_Night,Mumbai,Economy,15.0
GO_FIRST,G8-113,Delhi,Early_Morning,one,Morning,Mumbai,Economy,5.58
GO_FIRST,G8-211,Delhi,Morning,one,Afternoon,Mumbai,Economy,6.75
GO_FIRST,G8-7553,Delhi,Afternoon,one,Night,Mumbai,Economy,7.08
GO_FIRST,G8-286,Delhi,Morning,two_or_more,Evening,Mumbai,Economy,7.5
GO_FIRST,G8-286,Delhi,Morning,two_or_more,Evening,Mumbai,Economy,8.83
GO_FIRST,G8-2509,Delhi,Early_Morning,one,Afternoon,Mumbai,Economy,9.75
GO_FIRST,G8-286,Delhi,Morning,two_or_more,Night,Mumbai,Economy,9.83
GO_FIRST,G8-194,Delhi,Night,one,Early_Morning,Mumbai,Economy,11.25
GO_FIRST,G8-211,Delhi,Morning,one,Night,Mumbai,Economy,11.33
GO_FIRST,G8-2609,Delhi,Night,one,Morning,Mumbai,Economy,11.83
